iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
608328,0.00027148472997802405,2504.890753,4.268438889390187,0.0001664969,0.0001664969,12.502,3.702e+05,-0.000107209,-0.000103914632,2.00489e-08,-0.766592,0.010571,0.00014838
617274,0.00027547715247769827,2504.890753,4.331302496008562,0.0001640306,0.0001640306,12.284,3.702e+05,-0.000105631,-0.00010235634,2.07612e-08,-0.793292,0.012626,0.00017733
626220,0.0002794695749773725,2504.890753,4.394166102626937,0.0001613491,0.0001613491,11.771,3.702e+05,-0.000103916,-0.000100661193,2.14753e-08,-0.819597,0.014783,0.00020749
635166,0.0002834619974770467,2504.890753,4.457029709245313,0.0001584604,0.0001584604,11.321,3.702e+05,-0.000102068,-9.88322853e-05,2.21903e-08,-0.845498,0.017018,0.00023887
644112,0.0002874544199767209,2504.890753,4.519893315863688,0.0001553727,0.0001553727,10.783,3.702e+05,-0.000100092,-9.68737411e-05,2.29055e-08,-0.870987,0.019304,0.00027088
653058,0.0002914468424763951,2504.890753,4.582756922482063,0.0001520951,0.0001520951,10.323,3.702e+05,-9.7995e-05,-9.47910308e-05,2.36202e-08,-0.896056,0.021616,0.00030329
662004,0.00029543926497606934,2504.890753,4.645620529100438,0.0001486371,0.0001486371,9.639,3.702e+05,-9.57825e-05,-9.25929167e-05,2.43336e-08,-0.920697,0.023926,0.00033554
670950,0.00029943168747574356,2504.890753,4.708484135718813,0.0001450087,0.0001450087,9.1009,3.702e+05,-9.34611e-05,-9.02855053e-05,2.5045e-08,-0.944902,0.026207,0.00036765
679896,0.00030342410997541777,2504.890753,4.771347742337189,0.0001412205,0.0001412205,8.6131,3.702e+05,-9.10372e-05,-8.78764614e-05,2.57539e-08,-0.968665,0.028434,0.00039899
688842,0.000307416532475092,2504.890753,4.834211348955564,0.0001372836,0.0001372836,8.0113,3.702e+05,-8.85181e-05,-8.53724956e-05,2.64597e-08,-0.991979,0.030579,0.00042899
697788,0.0003114089549747662,2504.890753,4.897074955573939,0.0001332092,0.0001332092,7.3356,3.702e+05,-8.59115e-05,-8.27768885e-05,2.71619e-08,-1.01484,0.032619,0.00045754
706734,0.0003154013774744404,2504.890753,4.959938562192314,0.0001290094,0.0001290094,6.7746,3.702e+05,-8.32245e-05,-8.00941684e-05,2.78599e-08,-1.03723,0.034529,0.00048442
715680,0.00031939379997411463,2504.890753,5.022802168810689,0.0001246962,0.0001246962,6.1714,3.702e+05,-8.04646e-05,-7.73340216e-05,2.85534e-08,-1.05916,0.036288,0.00050938
724626,0.00032338622247378885,2504.890753,5.085665775429065,0.0001202822,0.0001202822,5.4045,3.702e+05,-7.76399e-05,-7.45112437e-05,2.9242e-08,-1.08061,0.037875,0.00053177
733572,0.00032737864497346306,2504.890753,5.14852938204744,0.0001157802,0.0001157802,4.6533,3.702e+05,-7.4758e-05,-7.16334403e-05,2.99254e-08,-1.10159,0.039272,0.00055139
742518,0.0003313710674731373,2504.890753,5.211392988665815,0.0001112032,0.0001112032,3.9652,3.702e+05,-7.18284e-05,-6.87077904e-05,3.06035e-08,-1.12209,0.040464,0.00056824
751464,0.0003353634899728115,2504.890753,5.27425659528419,0.0001065646,0.0001065646,3.2964,3.702e+05,-6.88591e-05,-6.57419724e-05,3.1276e-08,-1.1421,0.041435,0.0005816
760410,0.0003393559124724857,2504.890753,5.337120201902565,0.0001018777,0.0001018777,2.5419,3.702e+05,-6.58593e-05,-6.27472949e-05,3.19429e-08,-1.16162,0.042175,0.00059186
769356,0.0003433483349721599,2504.890753,5.399983808520941,9.715608e-05,9.715608e-05,1.7952,3.702e+05,-6.28372e-05,-5.97242064e-05,3.26041e-08,-1.18066,0.042676,0.00059891
778302,0.00034734075747183414,2504.890753,5.462847415139316,9.241349e-05,9.241349e-05,1.0545,3.702e+05,-5.98017e-05,-5.66865305e-05,3.32597e-08,-1.19921,0.042931,0.00060241
787248,0.00035133317997150835,2504.890753,5.525711021757691,8.766363e-05,8.766363e-05,0.3006,3.702e+05,-5.67615e-05,-5.36429732e-05,3.39096e-08,-1.21727,0.042939,0.00060251
796194,0.00035532560247118257,2504.890753,5.588574628376066,8.292024e-05,8.292024e-05,-0.47215,3.702e+05,-5.37251e-05,-5.059911e-05,3.45542e-08,-1.23485,0.042698,0.00059913
805140,0.0003593180249708568,2504.890753,5.651438234994441,7.819704e-05,7.819704e-05,-1.1912,3.702e+05,-5.07013e-05,-4.75633215e-05,3.51936e-08,-1.25193,0.042212,0.00059251
814086,0.000363310447470531,2504.890753,5.714301841612817,7.350771e-05,7.350771e-05,-1.8956,3.702e+05,-4.76987e-05,-4.45440834e-05,3.5828e-08,-1.26854,0.041486,0.00058249
823032,0.0003673028699702052,2504.890753,5.777165448231192,6.886582e-05,6.886582e-05,-2.6014,3.7021e+05,-4.47259e-05,-4.15547704e-05,3.64577e-08,-1.28467,0.040528,0.00056943
831978,0.0003712952924698794,2504.890753,5.840029054849567,6.428477e-05,6.428477e-05,-3.3334,3.7021e+05,-4.17913e-05,-3.85988504e-05,3.70832e-08,-1.30033,0.039351,0.0005532
840924,0.00037528771496955364,2504.890753,5.902892661467942,5.977782e-05,5.977782e-05,-4.0008,3.7021e+05,-3.89037e-05,-3.56878348e-05,3.77046e-08,-1.31552,0.037967,0.00053394
849870,0.00037928013746922786,2504.890753,5.965756268086317,5.535801e-05,5.535801e-05,-4.6482,3.7021e+05,-3.60712e-05,-3.28252646e-05,3.83225e-08,-1.33025,0.036392,0.00051224
858816,0.00038327255996890207,2504.890753,6.028619874704693,5.103811e-05,5.103811e-05,-5.3355,3.7021e+05,-3.33019e-05,-3.00208342e-05,3.89374e-08,-1.34454,0.034646,0.00048804
867762,0.0003872649824685763,2504.890753,6.091483481323068,4.683061e-05,4.683061e-05,-5.8985,3.7021e+05,-3.06036e-05,-2.72805551e-05,3.95495e-08,-1.35838,0.032747,0.00046189
876708,0.0003912574049682505,2504.890753,6.154347087941443,4.274765e-05,4.274765e-05,-6.5625,3.7021e+05,-2.79844e-05,-2.46149944e-05,4.01595e-08,-1.37179,0.030718,0.00043363
885654,0.0003952498274679247,2504.890753,6.217210694559818,3.880103e-05,3.880103e-05,-7.2272,3.7021e+05,-2.54522e-05,-2.20334005e-05,4.07678e-08,-1.38478,0.028583,0.00040356
894600,0.00039924224996759893,2504.890753,6.280074301178193,3.500214e-05,3.500214e-05,-7.6249,3.7021e+05,-2.30151e-05,-1.95446261e-05,4.13749e-08,-1.39736,0.026366,0.0003725
903546,0.00040323467246727315,2504.890753,6.342937907796569,3.136198e-05,3.136198e-05,-8.224,3.7021e+05,-2.06794e-05,-1.71563263e-05,4.19813e-08,-1.40954,0.024093,0.00034036
912492,0.00040722709496694736,2504.890753,6.405801514414944,2.789105e-05,2.789105e-05,-8.5728,3.7021e+05,-1.84526e-05,-1.48818422e-05,4.25873e-08,-1.42134,0.021789,0.00030815
921438,0.0004112195174666216,2504.890753,6.468665121033319,2.459939e-05,2.459939e-05,-9.1998,3.7021e+05,-1.63399e-05,-1.27203711e-05,4.31935e-08,-1.43277,0.019482,0.00027574
930384,0.0004152119399662958,2504.890753,6.531528727651694,2.149644e-05,2.149644e-05,-9.6212,3.7021e+05,-1.43487e-05,-1.06822444e-05,4.38003e-08,-1.44384,0.017199,0.00024333
939330,0.00041920436246597,2504.890753,6.594392334270069,1.859117e-05,1.859117e-05,-9.9844,3.7021e+05,-1.24852e-05,-8.77644692e-06,4.44081e-08,-1.45458,0.014965,0.00021168
948276,0.0004231967849656442,2504.890753,6.657255940888445,1.589197e-05,1.589197e-05,-10.403,3.7021e+05,-1.07542e-05,-7.01244645e-06,4.50172e-08,-1.46498,0.012807,0.00018107
957222,0.00042718920746531844,2504.890753,6.72011954750682,1.340657e-05,1.340657e-05,-10.896,3.7021e+05,-9.16078e-06,-5.39059804e-06,4.5628e-08,-1.47507,0.010749,0.00015186
966168,0.00043118162996499265,2504.890753,6.782983154125195,1.114212e-05,1.114212e-05,-11.228,3.7021e+05,-7.70969e-06,-3.91329642e-06,4.62406e-08,-1.48486,0.0088156,0.00012438
975114,0.00043517405246466687,2504.890753,6.84584676074357,9.105135e-06,9.105135e-06,-11.415,3.7021e+05,-6.40384e-06,-2.58246822e-06,4.68555e-08,-1.49436,0.0070282,9.9329e-05
984060,0.0004391664749643411,2504.890753,6.908710367361945,7.301436e-06,7.301436e-06,-11.77,3.7021e+05,-5.24775e-06,-1.40029094e-06,4.74727e-08,-1.50359,0.0054077,7.6531e-05
993006,0.0004431588974640153,2504.890753,6.971573973980321,5.736177e-06,5.736177e-06,-12.109,3.7021e+05,-4.24346e-06,-3.60136357e-07,4.80925e-08,-1.51256,0.003973,5.6473e-05
1001952,0.0004471513199636895,2504.890753,7.034437580598696,4.413795e-06,4.413795e-06,-12.418,3.7021e+05,-3.3947e-06,5.24014645e-07,4.87149e-08,-1.52128,0.0027402,3.9031e-05
1010898,0.0004511437424633637,2504.890753,7.097301187217071,3.338051e-06,3.338051e-06,-12.547,3.7021e+05,-2.70388e-06,1.25238458e-06,4.934e-08,-1.52976,0.0017233,2.4803e-05
1019844,0.00045513616496303794,2504.890753,7.160164793835446,2.511985e-06,2.511985e-06,-12.811,3.7021e+05,-2.17237e-06,1.82423194e-06,4.99678e-08,-1.53802,0.00093411,1.372e-05
1028790,0.00045912858746271216,2504.890753,7.223028400453821,1.937902e-06,1.937902e-06,-12.805,3.7021e+05,-1.8032e-06,2.22609631e-06,5.05984e-08,-1.54606,0.00038129,5.875e-06
1037736,0.00046312100996238637,2504.890753,7.285892007072197,1.617424e-06,1.617424e-06,-12.89,3.7021e+05,-1.5967e-06,2.46050943e-06,5.12316e-08,-1.55389,7.1179e-05,1.5048e-06
1046682,0.0004671134324620606,2504.890753,7.348755613690572,1.551389e-06,1.551389e-06,-13.262,3.7021e+05,-1.55295e-06,2.5284653e-06,5.18674e-08,-1.56152,7.1322e-06,5.4733e-07
